# normalized_key	display_name	genres
billie sans	Billie Sans	OTHER
billy butler	Billy Butler	RNB
billy currington	Billy Currington	COUNTRY
billy dean	Billy Dean	COUNTRY
billy edd wheeler	Billy Edd Wheeler	OTHER
billy falcon	Billy Falcon	OTHER
billy gibbons	Billy Gibbons	OTHER
billy gilman	Billy Gilman	COUNTRY
billy idol	Billy Idol	POP,ROCK,ELECTRONIC
billy j kramer	Billy J. Kramer	POP,ROCK,FOLK
billy joe royal	Billy Joe Royal	POP,ROCK,FOLK
billy joel	Billy Joel	POP,ROCK,FOLK
billy lawrence	Billy Lawrence	OTHER
billy ocean	Billy Ocean	POP,ROCK,RNB,ELECTRONIC
billy paul	Billy Paul	RNB,ELECTRONIC
billy preston	Billy Preston	RNB
billy ray cyrus	Billy Ray Cyrus	COUNTRY
billy satellite	Billy Satellite	OTHER
billy squier	Billy Squier	POP,ROCK,METAL
billy stewart	Billy Stewart	RNB
billy strange	Billy Strange	POP
billy swan	Billy Swan	POP
billy thorpe	Billy Thorpe	ROCK
billy vaughn	Billy Vaughn	POP
billy vera and the beaters	Billy Vera & The Beaters	OTHER
bimbo jet	Bimbo Jet	OTHER
bing crosby	Bing Crosby	POP,JAZZ
birdman	Birdman	HIP_HOP
biz markie	Biz Markie	HIP_HOP,ELECTRONIC,PUNK
bizarre inc	Bizarre Inc	ELECTRONIC,PUNK
bj the chicago kid	BJ The Chicago Kid	HIP_HOP,RNB
bjork	Björk	POP,ROCK,ELECTRONIC,CLASSICAL
blac youngsta	Blac Youngsta	HIP_HOP
black box	Black Box	POP,ELECTRONIC
black coffee	Black Coffee	ELECTRONIC
black crowes	The Black Crowes	POP,ROCK,RNB
black eyed peas	The Black Eyed Peas	POP,HIP_HOP
black keys	The Black Keys	ROCK,RNB,PUNK
black moon	Black Moon	HIP_HOP,PUNK
black oak arkansas	Black Oak Arkansas	ROCK,RNB,COUNTRY
black rob	Black Rob	POP,PUNK
black sabbath	Black Sabbath	ROCK,METAL
black sheep	Black Sheep	HIP_HOP,PUNK
blackbear	blackbear	POP
blackbyrds	The Blackbyrds	RNB,ELECTRONIC
blackfoot	Blackfoot	ROCK,RNB,COUNTRY
blackhawk	BlackHawk	COUNTRY
blackout allstars	The Blackout Allstars	OTHER
blackpink	BLACKPINK	POP
blackstreet	Blackstreet	POP,HIP_HOP,RNB
blahzay blahzay	Blahzay Blahzay	HIP_HOP,PUNK
