# normalized_key	display_name	genres
project pat	Project Pat	HIP_HOP
pseudo echo	Pseudo Echo	POP,ROCK,ELECTRONIC
psy	PSY	POP
psychedelic furs	The Psychedelic Furs	POP,ROCK,ELECTRONIC,PUNK
public announcement	Public Announcement	RNB
public enemy	Public Enemy	HIP_HOP,PUNK
puddle of mudd	Puddle Of Mudd	POP,ROCK,HIP_HOP,PUNK,METAL
puff daddy and faith evans featuring 112	Puff Daddy & Faith Evans (Featuring 112)	OTHER
puff johnson	Puff Johnson	OTHER
pure prairie league	Pure Prairie League	POP,ROCK,COUNTRY,FOLK
pusha t	Pusha T	HIP_HOP
pussycat dolls	The Pussycat Dolls	POP,HIP_HOP,RNB
pyramids	The Pyramids	ROCK
python lee jackson	Python Lee Jackson	OTHER
q	Q	OTHER
q feel	Q-Feel	OTHER
q tip	Q-Tip	HIP_HOP,RNB,PUNK
qb finest	QB Finest	OTHER
qkumba zoo	Qkumba Zoo	OTHER
qt	QT	OTHER
quad city dj s	Quad City DJ's	ELECTRONIC
quando rondo	Quando Rondo	HIP_HOP
quarterflash	Quarterflash	POP,ROCK
quavo	Quavo	POP,HIP_HOP
queen	Queen	ROCK
queen latifah	Queen Latifah	POP,HIP_HOP,SOUNDTRACK
queen naija	Queen Naija	POP,RNB
queen pen	Queen Pen	POP,HIP_HOP
queens of the stone age	Queens of the Stone Age	ROCK,RNB,METAL
queensryche	Queensrÿche	ROCK,METAL
quicksilver messenger service	Quicksilver Messenger Service	ROCK,RNB,COUNTRY,FOLK
quiet riot	Quiet Riot	ROCK,METAL
quincy jones	Quincy Jones	RNB,ELECTRONIC
r b greaves	R.B. Greaves	OTHER
r city	R. City	OTHER
r dean taylor	R. Dean Taylor	POP,RNB
r e m	R.E.M.	POP,ROCK
r kelly	R. Kelly	OTHER
r l	R.L.	OTHER
raab	Raab	OTHER
rachel platten	Rachel Platten	POP
rachel sweet	Rachel Sweet	ROCK
raconteurs	The Raconteurs	ROCK,RNB
radiants	The Radiants	RNB
radiohead	Radiohead	ROCK
rae sremmurd	Rae Sremmurd	POP,HIP_HOP
raekwon	Raekwon	HIP_HOP,PUNK
raelynn	RaeLynn	COUNTRY
rag dolls	The Rag Dolls	OTHER
rag n bone man	Rag'n'Bone Man	RNB
rage against the machine	Rage Against The Machine	ROCK,HIP_HOP,METAL
raheem devaughn	Raheem DeVaughn	POP,RNB
rahzel	Rahzel	HIP_HOP
raiders	The Raiders	ELECTRONIC
rainbow	Rainbow	ROCK,METAL
raindrops	The Raindrops	POP
rakim	Rakim	HIP_HOP,PUNK
ralph tresvant	Ralph Tresvant	RNB
ram jam	Ram Jam	ROCK
ramones	Ramones	ROCK,PUNK
rampage	Rampage	OTHER
ramsey lewis	Ramsey Lewis	RNB,JAZZ
ramsey lewis trio	Ramsey Lewis Trio	RNB
randy crawford	Randy Crawford	POP,RNB,ELECTRONIC
randy houser	Randy Houser	COUNTRY
randy jackson	Randy Jackson	OTHER
randy meisner	Randy Meisner	POP
randy newman	Randy Newman	FOLK,SOUNDTRACK
randy travis	Randy Travis	COUNTRY
randy vanwarmer	Randy VanWarmer	POP
range	The Range	POP
raphael saadiq	Raphael Saadiq	RNB
rappin 4 tay	Rappin' 4-Tay	HIP_HOP,RNB
rare earth	Rare Earth	ROCK,RNB
rascal flatts	Rascal Flatts	COUNTRY
rascals	The Rascals	POP
raspberries	Raspberries	POP,ROCK
ratatat	Ratatat	ELECTRONIC
rationals	The Rationals	ROCK
ratt	Ratt	ROCK,METAL
rattles	The Rattles	POP,ROCK
raven symone	Raven-Symoné	POP
ray	Ray	OTHER
ray barretto	Ray Barretto	LATIN
ray charles	Ray Charles	POP,RNB,JAZZ
ray charles orchestra	Ray Charles Orchestra	OTHER
ray charles singers	The Ray Charles Singers	POP
ray conniff	Ray Conniff	POP
ray conniff singers	The Ray Conniff Singers	POP
ray goodman and brown	Ray, Goodman & Brown	RNB
ray j	Ray J	RNB
ray kennedy	Ray Kennedy	POP
ray lamontagne	Ray LaMontagne	POP,FOLK
ray parker jr	Ray Parker, Jr.	RNB,ELECTRONIC
ray peterson	Ray Peterson	POP,ROCK,RNB
ray price	Ray Price	COUNTRY
ray stevens	Ray Stevens	POP,COUNTRY
raydio	Raydio	POP
rayvon	Rayvon	OTHER
rbd	RBD	OTHER
re flex	Re-Flex	POP
ready for the world	Ready For The World	POP,RNB,ELECTRONIC
ready set	The Ready Set	POP,PUNK,EMO
real life	Real Life	POP,ROCK,ELECTRONIC
real mccoy	Real McCoy	POP,ELECTRONIC
real thing	The Real Thing	RNB,ELECTRONIC
reality	Reality	OTHER
reba mcentire	Reba McEntire	COUNTRY
rebbie jackson	Rebbie Jackson	RNB
rebecca black	Rebecca Black	POP
rebecca lynn howard	Rebecca Lynn Howard	COUNTRY
rebekah	Rebekah	OTHER
rebel pebbles	The Rebel Pebbles	OTHER
records	The Records	POP,ROCK
red hot chili peppers	Red Hot Chili Peppers	ROCK,RNB,METAL
red jumpsuit apparatus	The Red Jumpsuit Apparatus	POP,ROCK,PUNK,EMO
red rider	Red Rider	ROCK
red rockers	Red Rockers	POP
red sovine	Red Sovine	COUNTRY
redbone	Redbone	OTHER
reddings	The Reddings	RNB,ELECTRONIC
redhead kingpin	Redhead Kingpin	OTHER
redman	Redman	HIP_HOP,PUNK
rednex	Rednex	POP,ELECTRONIC
reel 2 real	Reel 2 Real	ELECTRONIC
reel tight	Reel Tight	OTHER
reeve carney	Reeve Carney	SOUNDTRACK
reflections	Reflections	OTHER
regina	Regina	OTHER
regina belle	Regina Belle	RNB,ELECTRONIC
regina spektor	Regina Spektor	POP,ROCK,FOLK,CLASSICAL
rehab	Rehab	HIP_HOP,COUNTRY
reik	Reik	POP,LATIN
reina	Reina	ELECTRONIC
rej3ctz	Rej3ctz	OTHER
rejoice	Rejoice!	OTHER
relient k	Relient K	POP,ROCK,PUNK
rell	Rell	OTHER
rembrandts	The Rembrandts	POP
remedy	Remedy	OTHER
remo	Remo	OTHER
remy boyz	Remy Boyz	OTHER
remy ma	Remy Ma	POP,HIP_HOP,RNB
remy shand	Remy Shand	POP,RNB
rene and angela	Rene & Angela	RNB,ELECTRONIC
rene and rene	Rene & Rene	OTHER
rentals	The Rentals	POP,ROCK
reo speedwagon	REO Speedwagon	POP,ROCK,FOLK
reparata	Reparata	OTHER
replacements	The Replacements	POP,ROCK,COUNTRY,ELECTRONIC,PUNK,FOLK
republica	Republica	POP
restless heart	Restless Heart	COUNTRY
reunion	Reunion	OTHER
revivalists	The Revivalists	ROCK
rex smith	Rex Smith	POP
rhiannon giddens	Rhiannon Giddens	FOLK
rhinoceros	Rhinoceros	METAL
rhythm heritage	Rhythm Heritage	OTHER
ric a che	Ric-A-Che'	OTHER
ric ocasek	Ric Ocasek	OTHER
ricegum	Ricegum	OTHER
rich boy	Rich Boy	HIP_HOP
rich gang	Rich Gang	HIP_HOP
rich homie quan	Rich Homie Quan	HIP_HOP
rich kidz	Rich Kidz	HIP_HOP
rich the kid	Rich The Kid	HIP_HOP
richard and the young lions	Richard And The Young Lions	OTHER
richard burton	Richard Burton	OTHER
richard chamberlain	Richard Chamberlain	OTHER
richard dimples fields	Richard Dimples Fields	OTHER
richard groove holmes	Richard "Groove" Holmes	RNB,JAZZ
richard harris	Richard Harris	OTHER
richard hayman	Richard Hayman	OTHER
richard marx	Richard Marx	POP,ROCK
richie furay	Richie Furay	OTHER
richie havens	Richie Havens	ROCK,FOLK
richie rich	Richie Rich	HIP_HOP,RNB
richie sambora	Richie Sambora	ROCK,METAL
rick astley	Rick Astley	POP,ROCK,ELECTRONIC
rick derringer	Rick Derringer	ROCK,RNB
rick james	Rick James	RNB,ELECTRONIC
rick ross	Rick Ross	HIP_HOP
rick springfield	Rick Springfield	POP,ROCK,ELECTRONIC
rickie lee jones	Rickie Lee Jones	POP,ROCK,COUNTRY,FOLK
ricky martin	Ricky Martin	POP,LATIN
ricky nelson	Ricky Nelson	POP,ROCK,RNB,COUNTRY,FOLK
rico love	Rico Love	RNB
riff	Riff	OTHER
right said fred	Right Said Fred	POP,ELECTRONIC
righteous brothers	The Righteous Brothers	POP,ROCK,RNB,FOLK
rihanna	Rihanna	POP,RNB
ringo starr	Ringo Starr	POP,ROCK,FOLK
rings	The Rings	PUNK
rip chords	The Rip Chords	ROCK
ripple	Ripple	OTHER
rise against	Rise Against	ROCK,HIP_HOP,PUNK,METAL
rita coolidge	Rita Coolidge	POP,FOLK
rita ora	Rita Ora	POP,ELECTRONIC
rita pavone	Rita Pavone	POP
ritchie family	The Ritchie Family	RNB,ELECTRONIC
ritchie valens	Ritchie Valens	POP,ROCK,RNB
rivers cuomo	Rivers Cuomo	ROCK
rivieras	The Rivieras	ROCK,RNB
rixton	Rixton	POP
rkm	RKM	LATIN
roachford	Roachford	RNB
rob base	Rob Base	HIP_HOP,ELECTRONIC
rob jungklas	Rob Jungklas	OTHER
rob thomas	Rob Thomas	POP,ROCK
rob tone	Rob $tone	HIP_HOP
robbie dupree	Robbie Dupree	POP
robbie nevil	Robbie Nevil	POP
robbie patton	Robbie Patton	POP
robbie williams	Robbie Williams	POP
robert cray band	The Robert Cray Band	RNB
robert gordon	Robert Gordon	ROCK
robert goulet	Robert Goulet	POP
robert john	Robert John	POP
robert knight	Robert Knight	OTHER
robert miles	Robert Miles	ELECTRONIC
robert palmer	Robert Palmer	POP,ROCK,ELECTRONIC,FOLK
robert parker	Robert Parker	OTHER
robert plant	Robert Plant	POP,ROCK,RNB,FOLK
robert tepper	Robert Tepper	ROCK
roberta flack	Roberta Flack	POP,RNB,ELECTRONIC,JAZZ,FOLK
roberta flack and donny hathaway	Roberta Flack & Donny Hathaway	OTHER
roberta flack with maxi priest	Roberta Flack with Maxi Priest	OTHER
robey	Robey	OTHER
robin george	Robin George	OTHER
robin gibb	Robin Gibb	OTHER
robin lane and the chartbusters	Robin Lane & The Chartbusters	OTHER
robin s	Robin S	ELECTRONIC
robin schulz	Robin Schulz	POP,ELECTRONIC
robin thicke	Robin Thicke	POP,RNB
robin trower	Robin Trower	ROCK,RNB
robin ward	Robin Ward	POP
robin zander	Robin Zander	OTHER
robyn	Robyn	POP,ELECTRONIC
roc project	The Roc Project	ELECTRONIC
rock and hyde	Rock & Hyde	ROCK
rock flowers	Rock Flowers	OTHER
rock heroes	The Rock Heroes	OTHER
rockell	Rockell	OTHER
rockets	The Rockets	OTHER
rocko	Rocko	HIP_HOP
rockpile	Rockpile	POP,ROCK
rockwell	Rockwell	OTHER
rocky burnette	Rocky Burnette	OTHER
rod hart	Rod Hart	OTHER
rod mckuen	Rod McKuen	OTHER
rod stewart	Rod Stewart	POP,ROCK
roddy ricch	Roddy Ricch	HIP_HOP
rodney	Rodney	OTHER
rodney atkins	Rodney Atkins	COUNTRY
rodney crowell	Rodney Crowell	ROCK,COUNTRY,FOLK
rodney o and joe cooley	Rodney-O & Joe Cooley	ELECTRONIC
rodway	Rodway	OTHER
roger	Roger	RNB,ELECTRONIC
roger daltrey	Roger Daltrey	ROCK
roger hodgson	Roger Hodgson	ROCK
roger miller	Roger Miller	COUNTRY,FOLK
roger voudouris	Roger Voudouris	POP
roger whittaker	Roger Whittaker	POP
roger williams	Roger Williams	POP
rolling stones	The Rolling Stones	ROCK,PUNK
roman gianarthur	Roman GianArthur	OTHER
roman holliday	Roman Holliday	ROCK
romantics	The Romantics	POP,ROCK,ELECTRONIC
rome	Rome	OTHER
romeo s daughter	Romeo's Daughter	ROCK
romeo santos	Romeo Santos	LATIN
romeo void	Romeo Void	POP,ROCK,ELECTRONIC
romeos	The Romeos	OTHER
ron browz	Ron Browz	HIP_HOP
ronald isley	Ronald Isley	RNB
ronettes	The Ronettes	POP,ROCK,RNB
ronnie dove	Ronnie Dove	POP
ronnie dunn	Ronnie Dunn	COUNTRY
ronnie dyson	Ronnie Dyson	RNB
ronnie hawkins	Ronnie Hawkins	ROCK,RNB
ronnie laws	Ronnie Laws	RNB,JAZZ
ronnie mcdowell	Ronnie McDowell	POP,COUNTRY
ronnie milsap	Ronnie Milsap	COUNTRY
ronnie spector	Ronnie Spector	POP
ronny and the daytonas	Ronny & The Daytonas	POP,ROCK
roots	The Roots	HIP_HOP,RNB,PUNK
rosanne cash	Rosanne Cash	POP,ROCK,COUNTRY,FOLK
roscoe dash	Roscoe Dash	HIP_HOP
rose garden	The Rose Garden	OTHER
rose royce	Rose Royce	RNB,ELECTRONIC
rosemary clooney	Rosemary Clooney	POP,JAZZ
ross lynch	Ross Lynch	POP,SOUNDTRACK
rossington collins band	Rossington Collins Band	ROCK
rotary connection	Rotary Connection	RNB
rough trade	Rough Trade	ROCK
roula	Roula	OTHER
rowans	The Rowans	OTHER
roxanne	Roxanne	OTHER
roxette	Roxette	POP
roxy music	Roxy Music	POP,ROCK,ELECTRONIC,PUNK
roy clark	Roy Clark	COUNTRY
roy head	Roy Head	OTHER
roy head and the traits	Roy Head & The Traits	OTHER
roy orbison	Roy Orbison	POP,ROCK,FOLK
royal guardsmen	The Royal Guardsmen	POP
royal philharmonic orchestra	Royal Philharmonic Orchestra	CLASSICAL
royce da 5 9	Royce Da 5'9"	HIP_HOP,PUNK
rozalla	Rozalla	ELECTRONIC
rozetta johnson	Rozetta Johnson	OTHER
rtz	Rtz	OTHER
ruben studdard	Ruben Studdard	RNB
rubettes	The Rubettes	POP,ROCK
rubicon	Rubicon	OTHER
rubinoos	The Rubinoos	POP,ROCK
ruby and the romantics	Ruby And The Romantics	RNB
ruby andrews	Ruby Andrews	RNB
ruby winters	Ruby Winters	OTHER
rude boys	The Rude Boys	OTHER
rudimental	Rudimental	POP,RNB,ELECTRONIC
ruff endz	Ruff Endz	RNB
ruffneck	Ruffneck	PUNK
rufus	Rufus	RNB,ELECTRONIC
rufus and chaka khan	Rufus & Chaka Khan	RNB
rufus blaq	Rufus Blaq	OTHER
rufus thomas	Rufus Thomas	RNB
rugbys	The Rugbys	OTHER
run d m c	Run–D.M.C.	HIP_HOP,PUNK
rupaul	RuPaul	POP,ELECTRONIC
rupee	Rupee	ELECTRONIC
rupert holmes	Rupert Holmes	POP
rush	Rush	ROCK,METAL
russ	Russ	POP,HIP_HOP
russ ballard	Russ Ballard	OTHER
russ irwin	Russ Irwin	OTHER
russell dickerson	Russell Dickerson	COUNTRY
rusted root	Rusted Root	ROCK
rusty wier	Rusty Wier	OTHER
ruth b	Ruth B.	POP
rvssian	Rvssian	HIP_HOP,LATIN
ryan cabrera	Ryan Cabrera	POP
ryan leslie	Ryan Leslie	RNB
rza	RZA	HIP_HOP,PUNK
s club 7	S Club 7	POP,ELECTRONIC,SOUNDTRACK
s express	S'Express	ELECTRONIC
s o a p	S.O.A.P.	ELECTRONIC
s o s band	The S.O.S Band	RNB,ELECTRONIC
s o u l s y s t e m	S.O.U.L. S.Y.S.T.E.M.	OTHER
s s o	S.S.O	OTHER
sabrina carpenter	Sabrina Carpenter	POP
sacario	Sacario	OTHER
sad cafe	Sad Café	POP
sadat x	Sadat X	HIP_HOP,PUNK
sade	Sade	RNB
sadiyyah	Sadiyyah	OTHER
safire	Safire	OTHER
saga	Saga	ROCK
sagat	Sagat	OTHER
sage the gemini	Sage The Gemini	POP,HIP_HOP
sagittarius	Sagittarius	POP
saigon kick	Saigon Kick	ROCK,METAL
sailcat	Sailcat	OTHER
saliva	Saliva	ROCK,HIP_HOP,METAL
sally field	Sally Field	OTHER
salsoul orchestra	The Salsoul Orchestra	RNB,ELECTRONIC
salt n pepa	Salt-N-Pepa	POP,HIP_HOP,ELECTRONIC
sam and bill	Sam and Bill	RNB
sam and dave	Sam & Dave	POP,RNB
sam brown	Sam Brown	POP,RNB
sam cooke	Sam Cooke	POP,ROCK,RNB
sam dew	Sam Dew	OTHER
sam harris	Sam Harris	OTHER
sam hunt	Sam Hunt	COUNTRY
sam salter	Sam Salter	RNB
sam smith	Sam Smith	POP
sam the sham and the pharaohs	Sam The Sham & The Pharaohs	POP,ROCK,PUNK,FOLK
samantha barks	Samantha Barks	SOUNDTRACK
samantha cole	Samantha Cole	OTHER
samantha fox	Samantha Fox	POP,ELECTRONIC
samantha mumba	Samantha Mumba	POP,ELECTRONIC
samantha sang	Samantha Sang	OTHER
sammi smith	Sammi Smith	COUNTRY
sammie	Sammie	POP,RNB
sammy adams	Sammy Adams	HIP_HOP
sammy davis jr	Sammy Davis Jr.	POP,JAZZ
sammy hagar	Sammy Hagar	POP,ROCK,METAL
sammy johns	Sammy Johns	OTHER
sammy kershaw	Sammy Kershaw	COUNTRY
sampha	Sampha	RNB
san remo golden strings	The San Remo Golden Strings	OTHER
sandee	Sandee	OTHER
sandie shaw	Sandie Shaw	POP,ROCK
sandpipers	The Sandpipers	POP
sandy nelson	Sandy Nelson	POP,ROCK
sandy posey	Sandy Posey	POP,ROCK
sanford townsend band	Sanford Townsend Band	POP
santa esmeralda	Santa Esmeralda	ELECTRONIC
santana	Santana	ROCK,RNB
santino fontana	Santino Fontana	SOUNDTRACK
santo and johnny	Santo & Johnny	POP
sapphires	The Sapphires	RNB
sara bareilles	Sara Bareilles	POP
sara evans	Sara Evans	COUNTRY
sara ramirez	Sara Ramirez	SOUNDTRACK
sarah buxton	Sarah Buxton	COUNTRY
sarah connor	Sarah Connor	POP
sarah dash	Sarah Dash	ELECTRONIC
sarah mclachlan	Sarah McLachlan	POP,ROCK,FOLK
sarah vaughan	Sarah Vaughan	POP,RNB,JAZZ,LATIN
saraya	Saraya	METAL
sarina paris	Sarina Paris	ELECTRONIC
sasha	Sasha	OTHER
sass jordan	Sass Jordan	ROCK
satisfactions	The Satisfactions	OTHER
saudi	Saudi	OTHER
savage	Savage	HIP_HOP,ELECTRONIC
savage garden	Savage Garden	POP
saving abel	Saving Abel	ROCK,HIP_HOP,METAL
saving jane	Saving Jane	POP
savoy brown	Savoy Brown	ROCK,RNB,COUNTRY,FOLK
sawyer brown	Sawyer Brown	COUNTRY
sawyer fredericks	Sawyer Fredericks	OTHER
scaffold	The Scaffold	POP,ROCK
scandal	Scandal	POP
scar	Scar	OTHER
scarface	Scarface	HIP_HOP,PUNK
scarlett and black	Scarlett & Black	OTHER
scatman john	Scatman John	POP,ELECTRONIC
schoolboy q	ScHoolboy Q	POP,HIP_HOP
scorpions	Scorpions	ROCK,METAL
scott english	Scott English	OTHER
scott mckenzie	Scott McKenzie	POP,FOLK
scotty mccreery	Scotty McCreery	COUNTRY
script	The Script	POP,ROCK
scritti politti	Scritti Politti	POP,ROCK,ELECTRONIC
sea level	Sea Level	POP,ROCK
seal	Seal	POP,RNB
seals and crofts	Seals and Crofts	POP,ROCK,COUNTRY,FOLK
sean garrett	Sean Garrett	OTHER
sean kingston	Sean Kingston	POP,HIP_HOP,RNB
sean paul	Sean Paul	POP,ELECTRONIC
searchers	The Searchers	POP,ROCK,FOLK
seatrain	Seatrain	OTHER
secondhand serenade	Secondhand Serenade	POP,ROCK,PUNK
secrets	The Secrets	OTHER
seduction	Seduction	OTHER
seeds	The Seeds	POP,ROCK,PUNK,FOLK
seekers	The Seekers	POP,ROCK,FOLK
seether	Seether	ROCK,HIP_HOP,METAL
selena	Selena	LATIN
selena gomez	Selena Gomez	POP
selena gomez and the scene	Selena Gomez & The Scene	POP
senator bobby	Senator Bobby	OTHER
september	September	POP,ELECTRONIC
serendipity singers	The Serendipity Singers	FOLK
sergio mendes	Sérgio Mendes	LATIN
sergio mendes and brasil 66	Sergio Mendes & Brasil '66	POP,LATIN
serj tankian	Serj Tankian	ROCK,METAL
seven mary three	Seven Mary Three	POP,ROCK,METAL
sevyn streeter	Sevyn Streeter	POP,HIP_HOP,RNB
sf spanish fly	Sf Spanish Fly	OTHER
sha na na	Sha Na Na	SOUNDTRACK
shabba ranks	Shabba Ranks	ROCK,ELECTRONIC
shades of blue	Shades Of Blue	OTHER
shadows of knight	The Shadows Of Knight	POP,ROCK,PUNK
shaggy	Shaggy	POP,HIP_HOP
shaggy featuring marsha	Shaggy Featuring Marsha	OTHER
shai	Shai	POP,RNB
shakin stevens	Shakin' Stevens	POP,ROCK
shakira	Shakira	POP,LATIN
shalamar	Shalamar	RNB,ELECTRONIC
shamen	The Shamen	ELECTRONIC,PUNK
shana	Shana	OTHER
shangri las	The Shangri-Las	POP
shania twain	Shania Twain	POP,COUNTRY
shanice	Shanice	POP,RNB
shannon	Shannon	OTHER
shaquille o neal	Shaquille O'Neal	HIP_HOP
shareefa	Shareefa	POP,RNB
sharon paige	Sharon Paige	OTHER
shaun cassidy	Shaun Cassidy	POP
shawn christopher	Shawn Christopher	ELECTRONIC
shawn colvin	Shawn Colvin	POP,FOLK
shawn mendes	Shawn Mendes	POP
shawn mullins	Shawn Mullins	POP
shawn phillips	Shawn Phillips	FOLK
shawnna	Shawnna	POP,HIP_HOP
shawty lo	Shawty Lo	HIP_HOP
sheck wes	Sheck Wes	HIP_HOP
sheena easton	Sheena Easton	POP,ROCK
sheila	Sheila	OTHER
sheila e	Sheila E.	RNB
shelby flint	Shelby Flint	SOUNDTRACK
sheppard	Sheppard	POP,ROCK
sherbet	Sherbet	ROCK
sherbs	The Sherbs	OTHER
sheriff	Sheriff	ROCK
sherrie austin	Sherrié Austin	COUNTRY
sheryl crow	Sheryl Crow	POP,ROCK,FOLK
shifty shellshock	Shifty Shellshock	OTHER
shindogs	The Shindogs	OTHER
shinedown	Shinedown	ROCK,HIP_HOP,METAL
shins	The Shins	POP,ROCK,FOLK,CLASSICAL
shiny toy guns	Shiny Toy Guns	POP,ROCK,ELECTRONIC,PUNK
shirelles	The Shirelles	POP,ROCK,RNB
shirley bassey	Shirley Bassey	POP,JAZZ
shirley brown	Shirley Brown	RNB
shirley caesar	Shirley Caesar	OTHER
shirley ellis	Shirley Ellis	RNB
shirley murdock	Shirley Murdock	RNB
shocking blue	Shocking Blue	POP,ROCK,FOLK
shoes	Shoes	POP,ROCK
shontelle	Shontelle	POP
shooting star	Shooting Star	ROCK
shop boyz	Shop Boyz	HIP_HOP
shorty long	Shorty Long	RNB
shot in the dark	Shot In The Dark	OTHER
showmen	Showmen	OTHER
shwayze	Shwayze	HIP_HOP
shy glizzy	Shy Glizzy	HIP_HOP
shyheim	Shyheim	PUNK
shyne	Shyne	POP,HIP_HOP,PUNK
sia	Sia	POP,ELECTRONIC
sick puppies	Sick Puppies	ROCK,HIP_HOP,PUNK,METAL
sidekicks	The Sidekicks	OTHER
siedah garrett	Siedah Garrett	OTHER
silencers	The Silencers	ROCK
silento	Silentó	HIP_HOP
silk	Silk	POP,HIP_HOP,RNB
silkie	The Silkie	ROCK
silkk the shocker	Silkk The Shocker	HIP_HOP
silver	Silver	COUNTRY
silver condor	Silver Condor	OTHER
silver convention	Silver Convention	ELECTRONIC
silversun pickups	Silversun Pickups	POP,ROCK,PUNK,METAL
silvetti	Silvetti	OTHER
simon and garfunkel	Simon & Garfunkel	POP,ROCK,FOLK
simple minds	Simple Minds	POP,ROCK,ELECTRONIC
simple plan	Simple Plan	POP,ROCK,PUNK
simply red	Simply Red	POP,ROCK,RNB,ELECTRONIC
simpsons	The Simpsons	OTHER
sinead o connor	Sinéad O'Connor	POP,FOLK
sinitta	Sinitta	POP
siouxsie and the banshees	Siouxsie and the Banshees	POP,ROCK,ELECTRONIC,PUNK
sir douglas quintet	Sir Douglas Quintet	POP,ROCK,COUNTRY
sir mix a lot	Sir Mix-A-Lot	HIP_HOP,ELECTRONIC
sirah	Sirah	OTHER
sisqo	Sisqo	POP,HIP_HOP,RNB
sister hazel	Sister Hazel	POP,ROCK
sister janet mead	Sister Janet Mead	OTHER
sister sledge	Sister Sledge	POP,RNB,ELECTRONIC
sixpence none the richer	Sixpence None The Richer	POP
skee lo	Skee-Lo	HIP_HOP
skeeter davis	Skeeter Davis	POP,COUNTRY
skepta	Skepta	HIP_HOP
ski mask the slump god	Ski Mask The Slump God	HIP_HOP
skid row	Skid Row	ROCK,METAL
skillet	Skillet	ROCK,METAL
skip	Skip	OTHER
skip marley	Skip Marley	OTHER
skrillex	Skrillex	ELECTRONIC
skylar grey	Skylar Grey	POP,ROCK
skyliners	The Skyliners	POP,ROCK,RNB
skyy	Skyy	RNB,ELECTRONIC
slade	Slade	POP,ROCK,RNB
slash	Slash	ROCK
slaughter	Slaughter	ROCK,METAL
slaughterhouse	Slaughterhouse	HIP_HOP,PUNK
slave	Slave	RNB,ELECTRONIC
sleepy brown	Sleepy Brown	HIP_HOP,RNB
slick rick	Slick Rick	HIP_HOP,PUNK
slim harpo	Slim Harpo	RNB
slim jxmmi	Slim Jxmmi	HIP_HOP
slim thug	Slim Thug	HIP_HOP
slum village	Slum Village	HIP_HOP,RNB
sly and the family stone	Sly & The Family Stone	POP,ROCK,RNB,ELECTRONIC,FOLK
sly fox	Sly Fox	OTHER
sly stone	Sly Stone	RNB
small faces	Small Faces	POP,ROCK,RNB,PUNK,FOLK
smart e s	Smart E's	PUNK
smash mouth	Smash Mouth	POP,ROCK,PUNK
smashing pumpkins	The Smashing Pumpkins	POP,ROCK,METAL
smif n wessun	Smif-N-Wessun	HIP_HOP,PUNK
smilez and southstar	Smilez and Southstar	OTHER
smith	Smith	OTHER
smithereens	The Smithereens	POP,ROCK,ELECTRONIC
smokepurpp	Smokepurpp	HIP_HOP
smokey robinson	Smokey Robinson	RNB,ELECTRONIC
smokey robinson and the miracles	Smokey Robinson & The Miracles	POP,ROCK,RNB
smokie	Smokie	POP
smokie norful	Smokie Norful	RNB
smooth	Smooth	OTHER
smothers brothers	The Smothers Brothers	OTHER
snail	Snail	OTHER
snap	SNAP!	POP,ELECTRONIC
sneaker pimps	Sneaker Pimps	ELECTRONIC
sniff n the tears	Sniff 'n' The Tears	POP
snoop dogg	Snoop Dogg	HIP_HOP,RNB
snow	Snow	OTHER
snow patrol	Snow Patrol	POP,ROCK
so	So	OTHER
sob x rbe	SOB X RBE	HIP_HOP
sofi tukker	Sofi Tukker	ROCK
sofia carson	Sofia Carson	POP
soft cell	Soft Cell	POP,ROCK,ELECTRONIC,PUNK
soho	Soho	OTHER
soko	Soko	OTHER
solange	Solange	POP,RNB
solomon burke	Solomon Burke	RNB,JAZZ
somethin for the people	Somethin' For The People	RNB
somo	SoMo	POP,RNB
son by four	Son By Four	LATIN
sonique	Sonique	OTHER
sonny and cher	Sonny & Cher	POP,ROCK,FOLK
sonny charles and the checkmates ltd	Sonny Charles And The Checkmates Ltd	OTHER
sonny james	Sonny James	POP,COUNTRY
sonny knight	Sonny Knight	OTHER
sons of champlin	The Sons Of Champlin	OTHER
sons of funk	Sons Of Funk	OTHER
sophia grace	Sophia Grace	OTHER
sophie b hawkins	Sophie B. Hawkins	POP
sopwith camel	Sopwith Camel	ROCK
soshy	Soshy	OTHER
soul asylum	Soul Asylum	POP,ROCK
soul brothers six	The Soul Brothers Six	RNB
soul children	The Soul Children	RNB
soul clan	Soul Clan	OTHER
soul for real	Soul For Real	POP,RNB
soul ii soul	Soul II Soul	RNB,ELECTRONIC
soul ii soul featuring caron wheeler	Soul II Soul featuring Caron Wheeler	OTHER
soul sisters	The Soul Sisters	OTHER
soul sonic force	The Soul Sonic Force	OTHER
soul survivors	Soul Survivors	OTHER
soul train gang	Soul Train Gang	OTHER
soulful strings	The Soulful Strings	OTHER
soulja slim	Soulja Slim	HIP_HOP
souls of mischief	Souls Of Mischief	HIP_HOP,PUNK
soulsister	Soulsister	POP,ROCK
soundgarden	Soundgarden	ROCK,METAL
sounds of blackness	Sounds Of Blackness	RNB
sounds orchestral	Sounds Orchestral	OTHER
soup dragons	The Soup Dragons	ROCK
south shore commission	South Shore Commission	OTHER
souther hillman furay band	The Souther-Hillman-Furay Band	OTHER
southside johnny and the asbury jukes	Southside Johnny And The Asbury Jukes	ROCK
southwest f o b	Southwest F.O.B.	OTHER
